id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,indoor_area,outdoor_area
818,906230030,90,RL,69.06,7976,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,7,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23.0,TA,TA,PConc,Ex,TA,No,GLQ,820.0,Unf,0.0,348.0,1168.0,GasA,Ex,Y,SBrkr,1168,1619,0,2787,2,0,4,2,6,2,TA,8,Typ,2,TA,BuiltIn,2000,Fin,4,820.0,TA,TA,Y,312.0,0.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,10,2009,WD ,3955.0,8288.0
2673,903206160,70,RL,69.0,11737,Pave,No_Alley,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,2Story,6,7,1924,1996,Gambrel,CompShg,BrkComm,Stucco,NoMsn,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,848.0,848.0,GasW,TA,N,SBrkr,1017,810,0,1827,0,0,1,0,2,1,TA,9,Typ,1,Gd,Detchd,1943,Unf,1,240.0,Fa,TA,Y,27.0,36.0,42.0,0.0,0.0,0.0,Np,GdPrv,NoFea,0.0,5,2006,WD ,2675.0,11842.0
2089,905480180,20,RL,60.0,9060,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1Story,5,6,1957,2006,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,98.0,TA,TA,PConc,Nb,Nb,Nb,Nb,0.0,Nb,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,1340,0,0,1340,0,0,1,0,3,1,TA,7,Typ,1,Gd,Attchd,1957,RFn,1,252.0,TA,TA,Y,116.0,0.0,0.0,180.0,0.0,0.0,Np,MnPrv,NoFea,0.0,6,2007,WD ,1340.0,9356.0
1297,902128150,190,RM,60.0,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,1.5Fin,6,6,1940,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NoMsn,0.0,TA,TA,CBlock,TA,TA,No,BLQ,590.0,Unf,0.0,294.0,884.0,GasA,TA,Y,SBrkr,884,552,0,1436,0,0,2,0,3,2,TA,8,Typ,2,Gd,Detchd,1940,Unf,2,828.0,TA,TA,Y,0.0,0.0,126.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,5,2008,Con,2320.0,10926.0
790,905451300,20,RL,68.0,9571,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1956,1956,Hip,CompShg,MetalSd,MetalSd,NoMsn,0.0,TA,TA,CBlock,TA,TA,No,Rec,257.0,Unf,0.0,816.0,1073.0,GasA,TA,Y,FuseA,1073,0,0,1073,1,0,1,0,2,1,TA,5,Typ,0,Nf,Attchd,1956,Unf,1,340.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,Np,GdPrv,NoFea,0.0,2,2009,WD ,2146.0,9571.0
2616,535425040,20,RL,80.0,10800,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1961,1992,Gable,CompShg,HdBoard,HdBoard,BrkFace,104.0,TA,TA,CBlock,TA,TA,No,Rec,913.0,Unf,0.0,400.0,1313.0,GasA,TA,Y,SBrkr,1773,0,0,1773,1,0,2,0,3,1,TA,6,Min2,2,TA,Attchd,1961,RFn,2,418.0,TA,TA,Y,355.0,98.0,0.0,0.0,144.0,0.0,Np,NoFe,NoFea,0.0,8,2006,WD ,3086.0,11397.0
720,902330040,70,RM,121.0,17671,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,8,9,1882,1986,Gable,CompShg,Wd Sdng,Wd Sdng,NoMsn,0.0,Gd,Gd,BrkTil,TA,TA,No,BLQ,216.0,Unf,0.0,700.0,916.0,GasA,Gd,Y,SBrkr,916,826,0,1742,0,0,1,1,4,1,Gd,8,Typ,1,Gd,Attchd,1925,Unf,2,424.0,TA,TA,P,0.0,169.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,11,2009,WD ,2658.0,17840.0
222,905105070,20,RL,69.06,8246,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,NoMsn,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188.0,ALQ,668.0,204.0,1060.0,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968,Unf,1,270.0,TA,TA,Y,406.0,90.0,0.0,0.0,0.0,0.0,Np,MnPrv,NoFea,0.0,5,2010,WD ,2120.0,8742.0
557,532354160,20,RL,69.06,8499,Pave,No_Alley,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,MetalSd,MetalSd,NoMsn,0.0,TA,TA,CBlock,TA,TA,No,GLQ,660.0,Unf,0.0,204.0,864.0,GasA,Ex,Y,SBrkr,864,0,0,864,1,0,1,0,3,1,TA,5,Typ,0,Nf,Detchd,1982,Unf,2,732.0,TA,TA,Y,0.0,312.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,6,2009,WD ,1728.0,8811.0
1148,531451020,120,RL,50.0,8012,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1993,1994,Gable,CompShg,Plywood,Plywood,NoMsn,0.0,Gd,TA,PConc,Gd,TA,No,LwQ,165.0,GLQ,841.0,598.0,1604.0,GasA,Ex,Y,SBrkr,1617,0,0,1617,1,0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,1993,RFn,2,533.0,TA,TA,Y,0.0,69.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,7,2008,WD ,3221.0,8081.0
2766,906475050,80,RL,69.06,21453,Pave,No_Alley,IR1,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,SLvl,6,5,1969,1969,Flat,Metal,Plywood,Plywood,NoMsn,0.0,TA,TA,CBlock,TA,TA,Gd,ALQ,938.0,Unf,0.0,0.0,938.0,GasA,Ex,Y,SBrkr,988,0,0,988,1,0,1,0,1,1,TA,4,Typ,2,TA,Attchd,1969,Unf,2,540.0,TA,TA,Y,0.0,130.0,0.0,130.0,0.0,0.0,Np,NoFe,NoFea,0.0,10,2006,WD ,1926.0,21713.0
534,531363010,20,RL,80.0,9605,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,NoMsn,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1218.0,1218.0,GasA,Ex,Y,SBrkr,1218,0,0,1218,0,0,1,1,3,1,Gd,6,Typ,0,Nf,Detchd,2007,RFn,2,576.0,TA,TA,Y,0.0,178.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,4,2009,WD ,2436.0,9783.0
1452,907227050,20,RL,60.0,7180,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Hip,CompShg,HdBoard,HdBoard,NoMsn,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,390.0,Unf,0.0,474.0,864.0,GasA,TA,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,TA,5,Typ,0,Nf,Detchd,1989,Unf,1,352.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,5,2008,WD ,1728.0,7180.0
630,535150070,50,RL,69.06,12513,Pave,No_Alley,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Feedr,Norm,1Fam,1.5Fin,4,4,1920,2007,Gable,CompShg,VinylSd,VinylSd,NoMsn,0.0,TA,Gd,BrkTil,TA,Fa,No,Unf,0.0,Unf,0.0,715.0,715.0,GasA,Gd,Y,SBrkr,1281,457,0,1738,0,0,2,0,4,1,TA,7,Typ,1,Gd,Attchd,1920,Unf,1,368.0,TA,TA,Y,55.0,0.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,6,2009,WD ,2453.0,12568.0
2648,902125020,70,RM,50.0,9000,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,5,6,1880,1991,Gable,CompShg,VinylSd,VinylSd,NoMsn,0.0,TA,TA,BrkTil,Fa,Fa,No,Unf,0.0,Unf,0.0,636.0,636.0,GasA,TA,Y,FuseA,1089,661,0,1750,0,0,1,0,3,1,Ex,8,Typ,0,Nf,Detchd,1937,Unf,1,240.0,Fa,Po,N,0.0,0.0,293.0,0.0,0.0,0.0,Np,MnPrv,NoFea,0.0,6,2006,WD ,2386.0,9293.0
125,534425310,85,RL,80.0,8800,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,SFoyer,6,7,1963,1963,Gable,CompShg,MetalSd,MetalSd,BrkFace,156.0,TA,Gd,PConc,TA,TA,Gd,GLQ,763.0,Unf,0.0,173.0,936.0,GasA,Ex,Y,SBrkr,1054,0,0,1054,1,0,1,0,3,1,Gd,6,Typ,0,Nf,Attchd,1963,RFn,2,480.0,TA,TA,Y,120.0,0.0,0.0,0.0,0.0,0.0,Np,MnPrv,NoFea,0.0,5,2010,WD ,1990.0,8920.0
1904,534451020,50,RL,51.0,3500,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,Norm,1Fam,1.5Fin,3,5,1945,1950,Gable,CompShg,MetalSd,MetalSd,NoMsn,0.0,TA,TA,CBlock,TA,TA,No,LwQ,144.0,Unf,0.0,226.0,370.0,GasA,TA,N,FuseA,442,228,0,670,1,0,1,0,2,1,Fa,4,Typ,0,Nf,Ng,9999,Ng,0,0.0,Ng,Ng,N,0.0,21.0,0.0,0.0,0.0,0.0,Np,MnPrv,Shed,2000.0,7,2007,WD ,1040.0,3521.0
1670,527404150,20,RL,69.06,7340,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,NoMsn,0.0,TA,TA,CBlock,TA,TA,No,ALQ,322.0,Unf,0.0,536.0,858.0,GasA,TA,Y,SBrkr,858,0,0,858,0,0,1,0,2,1,TA,4,Typ,0,Nf,Detchd,1979,Unf,1,684.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,6,2007,WD ,1716.0,7340.0
756,903458170,30,RM,52.0,6240,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1925,1950,Gable,CompShg,MetalSd,MetalSd,NoMsn,0.0,TA,TA,CBlock,TA,TA,No,BLQ,152.0,Unf,0.0,628.0,780.0,GasA,TA,Y,FuseA,848,0,360,1208,0,0,1,0,2,1,TA,5,Typ,0,Nf,Detchd,1962,Unf,2,539.0,TA,TA,Y,0.0,23.0,112.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,1,2009,WD ,1988.0,6375.0
717,902326030,70,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,NoMsn,0.0,Gd,TA,Stone,TA,Fa,No,Unf,0.0,Unf,0.0,1240.0,1240.0,GasW,TA,N,SBrkr,1320,1320,0,2640,0,0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,1950,Unf,4,864.0,TA,TA,N,181.0,0.0,386.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,5,2009,WD ,3880.0,12267.0
1032,527378020,20,RL,80.0,10000,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,5,6,1973,2000,Gable,CompShg,HdBoard,HdBoard,NoMsn,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,1084.0,Unf,0.0,92.0,1176.0,GasA,Gd,Y,SBrkr,1178,0,0,1178,0,1,1,1,3,1,Gd,5,Typ,1,Fa,Attchd,1973,Unf,2,439.0,TA,TA,Y,224.0,0.0,0.0,0.0,0.0,0.0,Np,MnPrv,NoFea,0.0,11,2008,WD ,2354.0,10224.0
852,907196060,20,RL,75.0,11166,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,180.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,1468.0,1492.0,GasA,Ex,Y,SBrkr,1492,0,0,1492,0,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2001,RFn,2,608.0,TA,TA,Y,0.0,114.0,0.0,0.0,168.0,0.0,Np,NoFe,NoFea,0.0,7,2009,WD ,2984.0,11448.0
1731,528218100,60,RL,58.0,13204,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,608.0,608.0,GasA,Ex,Y,SBrkr,608,850,0,1458,0,0,2,0,3,1,Gd,6,Typ,0,Nf,BuiltIn,2007,Fin,2,454.0,TA,TA,Y,100.0,33.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,5,2007,New,2066.0,13337.0
2639,902103090,50,RM,60.0,5520,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,6,1920,1980,Gable,CompShg,Wd Sdng,Wd Sdng,NoMsn,0.0,TA,TA,PConc,TA,Fa,No,LwQ,284.0,Unf,0.0,863.0,1147.0,GasA,TA,N,SBrkr,1147,510,0,1657,0,0,1,0,4,1,Fa,9,Typ,1,TA,Detchd,1920,Unf,1,162.0,Fa,Fa,N,0.0,0.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,7,2006,WD ,2804.0,5520.0
2071,905228020,20,RL,69.06,9000,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4,7,1945,1950,Gable,CompShg,Wd Sdng,Wd Sdng,NoMsn,0.0,Fa,TA,Slab,Nb,Nb,Nb,Nb,0.0,Nb,0.0,0.0,0.0,GasA,TA,N,FuseA,998,0,0,998,0,0,1,0,3,1,TA,5,Min2,0,Nf,2Types,1952,Unf,2,460.0,Fa,TA,Y,0.0,0.0,140.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,5,2007,WD ,998.0,9140.0
1267,535451010,20,RL,74.0,8892,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,1996,Gable,CompShg,WdShing,Wd Shng,NoMsn,0.0,Gd,TA,Stone,TA,TA,Av,Unf,0.0,Unf,0.0,105.0,105.0,GasA,Gd,Y,SBrkr,910,0,0,910,0,0,1,0,3,1,Gd,5,Typ,0,Nf,Attchd,1953,Unf,2,414.0,TA,TA,Y,196.0,0.0,150.0,0.0,0.0,0.0,Np,GdWo,NoFea,0.0,10,2008,WD ,1015.0,9238.0
1851,533242080,20,FV,73.0,7321,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,1999,2000,Gable,CompShg,CemntBd,CmentBd,NoMsn,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1339.0,1339.0,GasA,Ex,Y,SBrkr,1358,0,0,1358,0,0,2,0,3,1,Gd,5,Typ,0,Nf,Detchd,1999,Unf,2,625.0,TA,TA,Y,176.0,174.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,12,2007,COD,2697.0,7671.0
567,533210010,160,FV,40.0,3951,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,612.0,612.0,GasA,Ex,Y,SBrkr,612,612,0,1224,0,0,2,1,2,1,Gd,4,Typ,0,Nf,Detchd,2009,RFn,2,528.0,TA,TA,Y,0.0,234.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,6,2009,New,1836.0,4185.0
2439,528280100,60,RL,69.06,11214,Pave,No_Alley,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,NoMsn,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,930.0,930.0,GasA,Gd,Y,SBrkr,956,930,0,1886,0,0,2,1,4,1,Gd,10,Typ,1,TA,Attchd,1998,Fin,2,431.0,TA,TA,Y,89.0,0.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,7,2006,WD ,2816.0,11303.0
